,0
0,69403769
1,69403761
2,69403755
3,69336510
4,69338975
5,68080869
6,68080870
7,68056576
8,68080867
9,67882918
10,67883286
11,67289828
12,67289834
13,67185884
14,67185881
15,67185879
16,67060344
17,67070512
18,66804121
19,66804112
20,66612483
21,66612482
22,66419903
23,66419899
24,66419895
25,66419890
26,65710358
27,65432902
28,65432900
29,65396070
30,65351370
31,65222437
32,65222443
33,65139488
34,65139485
35,64967197
36,64967200
37,64855240
38,64855237
39,64855238
40,64781252
41,64781253
42,64699630
43,64699624
44,64699622
45,64699617
46,64699620
47,64699614
48,64621984
49,64249953
50,64249952
51,64135648
52,64135646
53,64135642
54,64135641
55,64061258
56,64061255
57,63890973
58,63890967
59,63831335
60,63831326
61,63797922
62,63797919
63,63797918
64,63797920
65,63797916
66,63652951
67,63652946
68,63652940
69,63617288
70,63617291
71,63617290
72,63492672
73,63492655
74,63239023
75,63239020
76,62850589
77,62593809
78,62592983
79,62593814
80,62465002
81,62465003
82,62452991
83,62407251
84,62407250
85,62407249
86,62407247
87,62407248
88,62407246
89,62209250
90,62209249
91,61705212
92,61705211
93,61705204
94,61705202
95,61100817
96,60944490
97,60944489
98,60944486
99,58241175
100,57240324
101,57240321
102,55100392
103,55100388
104,55100390
105,55100386
106,53268303
107,51188874
108,51188870
109,50430987
110,50234380
111,50234378
112,50040058
113,50040061
114,49638950
115,49115816
116,48915090
117,48915081
118,48915079
119,48915075
120,48915076
121,48512961
122,48512957
123,48512953
124,48136386
125,47909286
126,47959482
127,47791376
128,47791366
129,47609538
130,47609536
131,47414626
132,47414617
133,47239462
134,47067475
135,46550551
136,46550546
137,46550547
138,46550545
139,46550542
140,46550539
141,46384020
142,46384015
143,46384011
144,46215160
145,46065762
146,46065754
147,45904027
148,45538188
149,45538186
150,45353473
151,45353463
152,45353471
153,45353461
154,44970504
155,44768610
156,43299916
157,43202013
158,43202011
159,43153855
160,43052318
161,42905188
162,42905184
163,42905182
164,42766028
165,42622239
166,42622229
167,42480211
168,42201822
169,42201823
170,41931977
171,41931966
172,41800563
173,41800571
174,41673601
175,41673606
176,41424822
177,41340834
178,41340829
179,41340824
180,41340831
181,41165557
182,40985230
183,40889687
184,40889682
185,40757953
186,40605643
187,40605620
188,40324965
189,40324955
190,40324949
191,40069215
192,40069226
193,40069199
194,40069198
195,39868885
196,40069194
197,40069186
198,40069184
199,39591559
200,39591495
201,39591506
202,39591509
203,39461971
204,39302047
205,39334293
206,39334296
207,39334299
208,39212111
209,39212121
210,39212112
211,39096172
212,39096164
213,39096166
214,39096163
215,38974720
216,38964436
217,38852151
218,38852156
219,38730130
220,38730125
221,38730123
222,38604172
223,38604170
224,38476256
225,38348736
226,37828653
227,37828644
228,37828647
229,37572038
230,37572041
231,37435562
232,37170588
233,36483500
234,36483502
235,36263932
236,36199582
237,36060152
238,35730025
239,35775676
240,32593151
241,32006803
242,31897436
243,31766145
244,31499829
245,31499832
246,31370140
247,31232720
248,31232713
249,31094312
250,30954180
251,30574065
252,30296032
253,30295999
254,30167607
255,30036784
256,30036801
257,30036869
258,30036830
259,29718174
260,29718198
261,29718188
262,29580055
263,29580018
264,29456653
265,29179713
266,29179708
267,29051838
268,29051831
269,28934677
270,28934674
271,28799350
272,28799335
273,27783182
274,27783180
275,27770234
276,27770219
277,27770214
278,27589097
279,26451438
280,25453267
281,24632926
282,25216701
283,23477182
284,16404699
285,13465467
286,13419695
287,11533320
288,11674689
289,11329824
290,10588101
291,9227171
292,6663606
293,2215928
